"Региональное отделение";"Сокращение";"Местное отделение"
"Московское отделение";"МРО";"Юго-Западное"
"Московское отделение";"МРО";"Северо-Восточное"
"Московское отделение";"МРО";"Центральное"
"Московское отделение";"МРО";"Северное"
"Московское отделение";"МРО";"Южное"
"Московское отделение";"МРО";"Восточное"
"Московское отделение";"МРО";"Западное"
"Московское отделение";"МРО";"Юго-Восточное"
"Московское отделение";"МРО";"Северо-Западное"
"Отделение Санкт-Петербург";"СПбРО";"Красногвардейское"
"Отделение Санкт-Петербург";"СПбРО";"Московское"
"Отделение Санкт-Петербург";"СПбРО";"Василеостровское"
"Отделение Санкт-Петербург";"СПбРО";"Невское"
"Отделение Санкт-Петербург";"СПбРО";"Адмиралтейское"
"Отделение Санкт-Петербург";"СПбРО";"Приморское"
"Отделение Санкт-Петербург";"СПбРО";"Кировское"
"Отделение Санкт-Петербург";"СПбРО";"Калиниское"
"Отделение Санкт-Петербург";"СПбРО";"Курортное"
"Отделение Санкт-Петербург";"СПбРО";"Фрунзенское"
"Отделение Санкт-Петербург";"СПбРО";"Пушкинское"
"Отделение Санкт-Петербург";"СПбРО";"Петроградское"
"Отделение Санкт-Петербург";"СПбРО";"Выборгское"
"Московское областное отделение";"МОРО";"Волоколамское"
"Московское областное отделение";"МОРО";"Егорьевское"
"Московское областное отделение";"МОРО";"Клинское"
"Московское областное отделение";"МОРО";"Раменское"
"Тверское отделение";"ТРО";"Тверское"
"Самарское отделение";"СамРО";"Правобережное"
"Самарское отделение";"СамРО";"Левобережное"
"Екатеринбургское";"ЕкРО";"Северное"
"Екатеринбургское";"ЕкРО";"Южное"
"Новосибирское";"НРО";"Дзержинское"
"Новосибирское";"НРО";"Заельцовское"
"Новосибирское";"НРО";"Центральное"
"Новосибирское";"НРО";"Первомайское"
